year,Colorado River,Effluent,Groundwater,Surface
2000,282101,1625,500576,25807
2001,282393,1585,445312,101430
2002,296062,1550,534505,38062
2003,332470,1789,494337,16858
2004,295613,1608,490205,22084
2005,265672,2126,419083,123010
2006,261598,2325,467318,88653
2007,275919,1657,588720,112482
2008,314613,2165,573470,147405
2009,305785,879,475557,114711
2010,287837,736,456838,123584
2011,292204,2070,555210,51642
2012,279595,790,632817,15559
2013,290834,1949,559417,30842
2014,303649,1304,526236,63441
2015,256136,1842,491522,85477
2016,239915,1122,527681,79055
2017,226143,1099,541025,110645
2018,212704,524,587881,36637
2019,221271,325,448558,75940
2020,225974,1450,533992,103415
2021,216272,702,472052,26924
2022,23594,286,537668,0
2023,0,153,462110,98379
