Year,Region,Irrigation_AF,Industrial_AF,Public Supply_AF,Domestic and Stock_AF,Total_AF
1938,Cedar,9621,0,310,69,10000
1939,Cedar,11545,0,372,83,12000
1940,Cedar,11545,0,372,83,12000
1945,Cedar,12508,0,402,90,13000
1946,Cedar,15394,0,495,111,16000
1947,Cedar,13470,0,433,97,14000
1948,Cedar,13470,0,433,97,14000
1949,Cedar,12508,0,402,90,13000
1950,Cedar,16356,0,526,118,17000
1951,Cedar,17318,0,557,125,18000
1952,Cedar,10583,0,341,76,11000
1953,Cedar,14432,0,464,104,15000
1954,Cedar,16356,0,526,118,17000
1955,Cedar,16356,0,526,118,17000
1956,Cedar,17318,0,557,125,18000
1957,Cedar,13470,0,433,97,14000
1958,Cedar,12508,0,402,90,13000
1959,Cedar,18280,0,588,132,19000
1960,Cedar,17318,0,557,125,18000
1961,Cedar,14432,0,464,104,15000
1962,Cedar,18280,0,588,132,19000
1963,Cedar,21300,0,500,150,21950
1964,Cedar,21200,0,750,150,22100
1965,Cedar,15600,0,500,150,16250
1966,Cedar,23700,0,900,150,24750
1967,Cedar,24800,100,800,150,25850
1968,Cedar,28500,100,800,150,29550
1969,Cedar,26200,100,800,150,27250
1970,Cedar,30000,500,800,150,31450
1971,Cedar,34200,500,800,150,35650
1972,Cedar,33500,500,800,150,34950
1973,Cedar,24900,500,1250,150,26800
1974,Cedar,39800,500,1850,150,42300
1975,Cedar,25200,1000,1900,200,28300
1976,Cedar,34000,1000,1900,200,37100
1977,Cedar,37100,1000,1900,200,40200
1978,Cedar,27600,1000,2100,300,31000
1979,Cedar,27900,900,2900,400,32100
1980,Cedar,24100,900,3000,400,28400
1981,Cedar,23900,900,3900,400,29100
1982,Cedar,23700,900,4500,3200,32300
1983,Cedar,17200,900,2500,400,21000
1984,Cedar,17300,900,1900,400,20500
1985,Cedar,20100,900,1600,400,23000
1986,Cedar,16000,700,2100,200,19000
1987,Cedar,17000,700,2600,500,20800
1988,Cedar,17100,500,2400,400,20400
1989,Cedar,23900,500,3200,900,28500
1990,Cedar,25000,200,3500,1200,29900
1991,Cedar,29300,600,3600,300,33800
1992,Cedar,29300,250,4600,300,34450
1993,Cedar,27800,450,4300,400,32950
1994,Cedar,28800,450,4200,350,33800
1995,Cedar,25900,380,4200,300,30780
1996,Cedar,29000,710,4700,420,34830
1997,Cedar,29500,120,3700,700,34020
1998,Cedar,30600,50,4300,700,35650
1999,Cedar,25600,40,5700,820,32160
2000,Cedar,28500,30,7100,800,36430
2001,Cedar,23500,30,6400,1700,31630
2002,Cedar,32600,130,6800,2000,41530
2003,Cedar,30900,80,6700,1800,39480
2004,Cedar,30400,100,7400,1900,39800
2005,Cedar,21100,100,6300,2000,29500
2006,Cedar,25200,100,7200,2100,34600
2007,Cedar,30000,100,7600,2100,39800
2008,Cedar,29900,100,8000,2200,40200
2009,Cedar,28600,100,6900,2300,37900
2010,Cedar,27900,100,7600,2300,37900
2011,Cedar,23700,100,7400,2400,33600
2012,Cedar,29700,100,7500,2400,39700
2013,Cedar,28900,100,7300,2300,38600
2014,Cedar,32600,100,7700,2400,42800
2015,Cedar,29900,100,7600,2400,40000
2016,Cedar,29200,100,7600,2500,39400
2017,Cedar,30700,100,8700,2600,42100
2018,Cedar,33803,11,9418,2600,45832
2019,Cedar,25197,110,8622,2600,36529
2020,Cedar,34715,143,10176,2600,47634
2021,Cedar,34737,366,10038,2600,47741
